salloc -N 2 --ntasks-per-node=1

task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
   1  1566989656.43269253  1566989656.43270421  0.00001168
   2  1566989656.43271542  1566989656.43271828  0.00000286
   3  1566989656.43272090  1566989656.43272328  0.00000238
   4  1566989656.43272567  1566989656.43272805  0.00000238
   5  1566989656.43273020  1566989656.43273282  0.00000262
   6  1566989656.43273497  1566989656.43273735  0.00000238
   7  1566989656.43273950  1566989656.43274188  0.00000238
   8  1566989656.43274403  1566989656.43274665  0.00000262
   9  1566989656.43274879  1566989656.43275499  0.00000620
  10  1566989656.43275738  1566989656.43275976  0.00000238
  11  1566989656.43276191  1566989656.43276429  0.00000238
  12  1566989656.43276644  1566989656.43276882  0.00000238
  13  1566989656.43277097  1566989656.43277359  0.00000262
  14  1566989656.43277574  1566989656.43277812  0.00000238
  15  1566989656.43278027  1566989656.43278265  0.00000238
  16  1566989656.43278480  1566989656.43278718  0.00000238
  17  1566989656.43278933  1566989656.43279195  0.00000262
  18  1566989656.43279409  1566989656.43279648  0.00000238
  19  1566989656.43279862  1566989656.43280101  0.00000238
  20  1566989656.43280315  1566989656.43280554  0.00000238
  21  1566989656.43280768  1566989656.43281054  0.00000286
  22  1566989656.43281269  1566989656.43281507  0.00000238
  23  1566989656.43281722  1566989656.43281984  0.00000262
  24  1566989656.43282199  1566989656.43282437  0.00000238
  25  1566989656.43282652  1566989656.43282914  0.00000262
  26  1566989656.43283105  1566989656.43283367  0.00000262
  27  1566989656.43283558  1566989656.43283820  0.00000262
  28  1566989656.43284035  1566989656.43284273  0.00000238
  29  1566989656.43284488  1566989656.43284726  0.00000238
  30  1566989656.43284941  1566989656.43285179  0.00000238
  31  1566989656.43285394  1566989656.43285656  0.00000262
  32  1566989656.43285871  1566989656.43286109  0.00000238
  33  1566989656.43286324  1566989656.43286586  0.00000262
  34  1566989656.43286800  1566989656.43287039  0.00000238
  35  1566989656.43287253  1566989656.43287492  0.00000238
  36  1566989656.43287706  1566989656.43287945  0.00000238
  37  1566989656.43288159  1566989656.43288422  0.00000262
  38  1566989656.43288636  1566989656.43288875  0.00000238
  39  1566989656.43289089  1566989656.43289328  0.00000238
  40  1566989656.43289542  1566989656.43289781  0.00000238
  41  1566989656.43289995  1566989656.43290281  0.00000286
  42  1566989656.43290472  1566989656.43290734  0.00000262
  43  1566989656.43290925  1566989656.43291163  0.00000238
  44  1566989656.43291378  1566989656.43291640  0.00000262
  45  1566989656.43291855  1566989656.43292093  0.00000238
  46  1566989656.43292308  1566989656.43292570  0.00000262
  47  1566989656.43292785  1566989656.43293023  0.00000238
  48  1566989656.43293238  1566989656.43293500  0.00000262
  49  1566989656.43293715  1566989656.43293977  0.00000262
  50  1566989656.43294191  1566989656.43294430  0.00000238
  51  1566989656.43294644  1566989656.43294883  0.00000238
  52  1566989656.43295097  1566989656.43295336  0.00000238
  53  1566989656.43295550  1566989656.43295789  0.00000238
  54  1566989656.43296003  1566989656.43296242  0.00000238
  55  1566989656.43296456  1566989656.43296695  0.00000238
  56  1566989656.43296909  1566989656.43297148  0.00000238
  57  1566989656.43297362  1566989656.43297625  0.00000262
  58  1566989656.43297815  1566989656.43298078  0.00000262
  59  1566989656.43298292  1566989656.43298531  0.00000238
  60  1566989656.43298745  1566989656.43298984  0.00000238
  61  1566989656.43299198  1566989656.43299437  0.00000238
  62  1566989656.43299651  1566989656.43299890  0.00000238
  63  1566989656.43300104  1566989656.43300366  0.00000262
  64  1566989656.43300581  1566989656.43300819  0.00000238
  65  1566989656.43301010  1566989656.43301272  0.00000262
  66  1566989656.43301487  1566989656.43301725  0.00000238
  67  1566989656.43301940  1566989656.43302226  0.00000286
  68  1566989656.43303204  1566989656.43303466  0.00000262
  69  1566989656.43303680  1566989656.43305111  0.00001431
  70  1566989656.43305349  1566989656.43305612  0.00000262
  71  1566989656.43305826  1566989656.43306065  0.00000238
  72  1566989656.43306303  1566989656.43306541  0.00000238
  73  1566989656.43306756  1566989656.43307018  0.00000262
  74  1566989656.43307233  1566989656.43307471  0.00000238
  75  1566989656.43307710  1566989656.43307948  0.00000238
  76  1566989656.43308163  1566989656.43308425  0.00000262
  77  1566989656.43308640  1566989656.43308902  0.00000262
  78  1566989656.43309116  1566989656.43309379  0.00000262
  79  1566989656.43309593  1566989656.43309832  0.00000238
  80  1566989656.43310070  1566989656.43310332  0.00000262
  81  1566989656.43310547  1566989656.43310809  0.00000262
  82  1566989656.43311024  1566989656.43311262  0.00000238
  83  1566989656.43311501  1566989656.43311787  0.00000286
  84  1566989656.43312001  1566989656.43312263  0.00000262
  85  1566989656.43312478  1566989656.43312740  0.00000262
  86  1566989656.43312979  1566989656.43313217  0.00000238
  87  1566989656.43313432  1566989656.43313694  0.00000262
  88  1566989656.43313909  1566989656.43314147  0.00000238
  89  1566989656.43314385  1566989656.43314624  0.00000238
  90  1566989656.43314862  1566989656.43315101  0.00000238
  91  1566989656.43315315  1566989656.43315578  0.00000262
  92  1566989656.43315792  1566989656.43316054  0.00000262
  93  1566989656.43316269  1566989656.43316531  0.00000262
  94  1566989656.43316770  1566989656.43317008  0.00000238
  95  1566989656.43317223  1566989656.43317485  0.00000262
  96  1566989656.43317699  1566989656.43317938  0.00000238
  97  1566989656.43318176  1566989656.43318439  0.00000262
  98  1566989656.43318653  1566989656.43318892  0.00000238
  99  1566989656.43319130  1566989656.43319368  0.00000238
 100  1566989656.43319607  1566989656.43319845  0.00000238
 101  1566989656.43320084  1566989656.43320322  0.00000238
 102  1566989656.43320560  1566989656.43320799  0.00000238
 103  1566989656.43321037  1566989656.43321276  0.00000238
 104  1566989656.43321490  1566989656.43321753  0.00000262
 105  1566989656.43321967  1566989656.43322229  0.00000262
 106  1566989656.43322444  1566989656.43322682  0.00000238
 107  1566989656.43322921  1566989656.43323159  0.00000238
 108  1566989656.43323374  1566989656.43323636  0.00000262
 109  1566989656.43323851  1566989656.43324113  0.00000262
 110  1566989656.43324327  1566989656.43324590  0.00000262
 111  1566989656.43324804  1566989656.43325043  0.00000238
 112  1566989656.43325281  1566989656.43325520  0.00000238
 113  1566989656.43325758  1566989656.43326020  0.00000262
 114  1566989656.43326235  1566989656.43326473  0.00000238
 115  1566989656.43326712  1566989656.43326950  0.00000238
 116  1566989656.43327165  1566989656.43327427  0.00000262
 117  1566989656.43327641  1566989656.43327904  0.00000262
 118  1566989656.43328142  1566989656.43328381  0.00000238
 119  1566989656.43328595  1566989656.43328857  0.00000262
 120  1566989656.43329072  1566989656.43329310  0.00000238
 121  1566989656.43329549  1566989656.43329787  0.00000238
 122  1566989656.43330026  1566989656.43330264  0.00000238
 123  1566989656.43330479  1566989656.43330717  0.00000238
 124  1566989656.43330956  1566989656.43331194  0.00000238
 125  1566989656.43331409  1566989656.43331671  0.00000262
 126  1566989656.43331909  1566989656.43332148  0.00000238
 127  1566989656.43332386  1566989656.43332624  0.00000238
 128  1566989656.43332863  1566989656.43333101  0.00000238
 129  1566989656.43333316  1566989656.43333578  0.00000262
 130  1566989656.43333793  1566989656.43334055  0.00000262
 131  1566989656.43334270  1566989656.43334508  0.00000238
 132  1566989656.43334746  1566989656.43334985  0.00000238
 133  1566989656.43335223  1566989656.43335462  0.00000238
 134  1566989656.43335676  1566989656.43335938  0.00000262
 135  1566989656.43336153  1566989656.43336391  0.00000238
 136  1566989656.43336630  1566989656.43336868  0.00000238
 137  1566989656.43337417  1566989656.43337655  0.00000238
 138  1566989656.43337893  1566989656.43338156  0.00000262
 139  1566989656.43338370  1566989656.43338633  0.00000262
 140  1566989656.43338847  1566989656.43339109  0.00000262
 141  1566989656.43339324  1566989656.43339562  0.00000238
 142  1566989656.43339801  1566989656.43340039  0.00000238
 143  1566989656.43340254  1566989656.43340516  0.00000262
 144  1566989656.43340731  1566989656.43340993  0.00000262
 145  1566989656.43341208  1566989656.43341446  0.00000238
 146  1566989656.43341684  1566989656.43341923  0.00000238
 147  1566989656.43342137  1566989656.43342400  0.00000262
 148  1566989656.43342614  1566989656.43342876  0.00000262
 149  1566989656.43343091  1566989656.43343353  0.00000262
 150  1566989656.43343568  1566989656.43343806  0.00000238
 151  1566989656.43344045  1566989656.43344283  0.00000238
 152  1566989656.43344522  1566989656.43344760  0.00000238
 153  1566989656.43344998  1566989656.43345237  0.00000238
 154  1566989656.43345475  1566989656.43345714  0.00000238
 155  1566989656.43345952  1566989656.43346190  0.00000238
 156  1566989656.43346405  1566989656.43346667  0.00000262
 157  1566989656.43346882  1566989656.43347144  0.00000262
 158  1566989656.43347359  1566989656.43347621  0.00000262
 159  1566989656.43347836  1566989656.43348098  0.00000262
 160  1566989656.43348312  1566989656.43348575  0.00000262
 161  1566989656.43348789  1566989656.43349028  0.00000238
 162  1566989656.43349266  1566989656.43349504  0.00000238
 163  1566989656.43349743  1566989656.43349981  0.00000238
 164  1566989656.43350220  1566989656.43350458  0.00000238
 165  1566989656.43350673  1566989656.43350935  0.00000262
 166  1566989656.43351150  1566989656.43351388  0.00000238
 167  1566989656.43351626  1566989656.43351889  0.00000262
 168  1566989656.43352127  1566989656.43352365  0.00000238
 169  1566989656.43352580  1566989656.43352818  0.00000238
 170  1566989656.43353057  1566989656.43353295  0.00000238
 171  1566989656.43353510  1566989656.43353748  0.00000238
 172  1566989656.43353987  1566989656.43354225  0.00000238
 173  1566989656.43354464  1566989656.43354702  0.00000238
 174  1566989656.43354917  1566989656.43355179  0.00000262
 175  1566989656.43355393  1566989656.43355632  0.00000238
 176  1566989656.43355870  1566989656.43356109  0.00000238
 177  1566989656.43356323  1566989656.43356586  0.00000262
 178  1566989656.43356800  1566989656.43357038  0.00000238
 179  1566989656.43357277  1566989656.43357515  0.00000238
 180  1566989656.43357730  1566989656.43357992  0.00000262
 181  1566989656.43358207  1566989656.43358469  0.00000262
 182  1566989656.43358684  1566989656.43358922  0.00000238
 183  1566989656.43359160  1566989656.43359399  0.00000238
 184  1566989656.43359613  1566989656.43359876  0.00000262
 185  1566989656.43360090  1566989656.43360329  0.00000238
 186  1566989656.43360543  1566989656.43360806  0.00000262
 187  1566989656.43361020  1566989656.43361259  0.00000238
 188  1566989656.43361497  1566989656.43361783  0.00000286
 189  1566989656.43361998  1566989656.43362260  0.00000262
 190  1566989656.43362474  1566989656.43362737  0.00000262
 191  1566989656.43362951  1566989656.43363214  0.00000262
 192  1566989656.43363428  1566989656.43363667  0.00000238
 193  1566989656.43363905  1566989656.43364167  0.00000262
 194  1566989656.43364382  1566989656.43364644  0.00000262
 195  1566989656.43364859  1566989656.43365121  0.00000262
 196  1566989656.43365335  1566989656.43365574  0.00000238
 197  1566989656.43365812  1566989656.43366051  0.00000238
 198  1566989656.43366265  1566989656.43366504  0.00000238
 199  1566989656.43366742  1566989656.43367004  0.00000262
 200  1566989656.43367219  1566989656.43367457  0.00000238
 201  1566989656.43367696  1566989656.43367958  0.00000262
 202  1566989656.43368173  1566989656.43368435  0.00000262
 203  1566989656.43368673  1566989656.43368912  0.00000238
 204  1566989656.43370223  1566989656.43370485  0.00000262
 205  1566989656.43370700  1566989656.43370938  0.00000238
 206  1566989656.43371153  1566989656.43371391  0.00000238
 207  1566989656.43371749  1566989656.43372011  0.00000262
 208  1566989656.43372226  1566989656.43373728  0.00001502
 209  1566989656.43373966  1566989656.43374228  0.00000262
 210  1566989656.43374467  1566989656.43374705  0.00000238
 211  1566989656.43376017  1566989656.43376255  0.00000238
 212  1566989656.43376470  1566989656.43376708  0.00000238
 213  1566989656.43376923  1566989656.43377161  0.00000238
 214  1566989656.43377376  1566989656.43377638  0.00000262
 215  1566989656.43377829  1566989656.43378091  0.00000262
 216  1566989656.43378305  1566989656.43378544  0.00000238
 217  1566989656.43378758  1566989656.43378997  0.00000238
 218  1566989656.43379211  1566989656.43379474  0.00000262
 219  1566989656.43379688  1566989656.43379927  0.00000238
 220  1566989656.43380141  1566989656.43380380  0.00000238
 221  1566989656.43380594  1566989656.43380833  0.00000238
 222  1566989656.43381047  1566989656.43381286  0.00000238
 223  1566989656.43382621  1566989656.43382883  0.00000262
 224  1566989656.43383121  1566989656.43383360  0.00000238
 225  1566989656.43383598  1566989656.43383884  0.00000286
 226  1566989656.43384099  1566989656.43384361  0.00000262
